_id,ltable_id,rtable_id,ltable_title,ltable_year,ltable_mpaa,ltable_runtime,ltable_genres,ltable_director,ltable_stars,ltable_gross,rtable_title,rtable_year,rtable_mpaa,rtable_runtime,rtable_genres,rtable_director,rtable_stars,rtable_gross,gold
713671,3064,2048,Lord of the Flies,1990,R,90 min,"Adventure, Drama, Thriller",Harry Hook,"Balthazar Getty,Chris Furrh,Danuel Pipoly,James Badge Dale",$13.99M,Pump Up the Volume,1990,R,-1,Drama,Allan Moyle,Christian Slater,-1,0
755803,3008,2201,The Holiday,2006,PG-13,138 min,"Comedy, Romance",Nancy Meyers,"Kate Winslet,Cameron Diaz,Jude Law,Jack Black",$63.22M,The Covenant,2006,PG-13,97 minutes,Thriller/Suspense,Renny Harlin,"Steven Strait,Sebastian Stan","$38,164,784",0
773801,853,2263,The Raid: Redemption,2011,R,101 min,"Action, Crime, Thriller",Gareth Evans,"Iko Uwais,Ananda George,Ray Sahetapy,Donny Alamsyah",$4.11M,Attack the Block,2011,R,87 minutes,Action,Joe Cornish,"John Boyega,Jodie Whittaker,Alex Esmail,Franz Drameh,Leeon Jones,Simon Howard,Nick Frost","$6,459,183",0
819362,2051,2411,Bringing Out the Dead,1999,R,121 min,"Drama, Thriller",Martin Scorsese,"Nicolas Cage,Patricia Arquette,John Goodman,Ving Rhames",$16.64M,The Mod Squad,1999,R,-1,Action,-1,-1,"$15,415,361",0
819383,3894,2411,The Messenger: The Story of Joan of Arc,1999,R,148 min,"Adventure, Biography, Drama",Luc Besson,"Milla Jovovich,John Malkovich,Rab Affleck,Stéphane Algoud",$14.28M,The Mod Squad,1999,R,-1,Action,-1,-1,"$15,415,361",0
825534,1213,2430,The Red Violin,1998,R,130 min,"Drama, Music, Mystery",François Girard,"Carlo Cecchi,Jean-Luc Bideau,Christoph Koncz,Jason Flemyng",$9.47M,The Proposition,1998,R,-1,Drama,-1,-1,"$2,377,528",0
834689,831,2485,Welcome to the Dollhouse,1995,R,88 min,"Comedy, Drama",Todd Solondz,"Heather Matarazzo,Christina Brucato,Victoria Davis,Christina Vidal",$4.77M,The Prophecy,1995,R,-1,Horror,-1,-1,-1,0
895510,419,2670,Kingsman: The Secret Service,2014,R,129 min,"Action, Adventure, Comedy",Matthew Vaughn,"Colin Firth,Taron Egerton,Samuel L. Jackson,Michael Caine",$128.26M,Dying of the Light,2014,R,95 minutes,Thriller/Suspense,Paul Schrader,Nicolas Cage,-1,0
930766,3103,2788,The Crossing Guard,1995,R,111 min,"Drama, Thriller",Sean Penn,"Jack Nicholson,David Morse,Anjelica Huston,Robin Wright",$0.83M,Blue in the Face,1995,R,-1,Drama,Wayne Wang,-1,-1,0
937279,618,2798,The Last Samurai,2003,R,154 min,"Action, Drama, History",Edward Zwick,"Tom Cruise,Ken Watanabe,Billy Connolly,William Atherton",$111.11M,The Missing,2003,R,136 minutes,Western,Ron Howard,"Tommy Lee Jones,Cate Blanchett","$38,253,433",0
937451,885,2798,The Station Agent,2003,R,89 min,"Comedy, Drama",Tom McCarthy,"Peter Dinklage,Patricia Clarkson,Bobby Cannavale,Paul Benjamin",$5.74M,The Missing,2003,R,136 minutes,Western,Ron Howard,"Tommy Lee Jones,Cate Blanchett","$38,253,433",0
937707,2942,2798,Touching the Void,2003,R,106 min,"Documentary, Adventure, Drama",Kevin Macdonald,"Simon Yates,Joe Simpson,Brendan Mackey,Nicholas Aaron",$4.58M,The Missing,2003,R,136 minutes,Western,Ron Howard,"Tommy Lee Jones,Cate Blanchett","$38,253,433",0
949555,3080,2815,Armour of God 2: Operation Condor,1991,PG-13,80 min,"Action, Adventure, Comedy",Jackie Chan,"Jackie Chan,Carol 'Do Do' Cheng,Eva Cobo,Shôko Ikeda",$10.44M,Problem Child 2,1991,PG-13,-1,Comedy,-1,-1,-1,0
956680,3116,2836,Midnight in the Garden of Good and Evil,1997,R,155 min,"Crime, Drama, Mystery",Clint Eastwood,"John Cusack,Kevin Spacey,Jack Thompson,Irma P. Hall",$25.08M,The Assignment,1997,R,-1,Thriller/Suspense,Christian Duguay,-1,-1,0
982306,3883,2927,In the Valley of Elah,2007,R,121 min,"Crime, Drama, Mystery",Paul Haggis,"Tommy Lee Jones,Charlize Theron,Jonathan Tucker,Jason Patric",$6.78M,The Assassination of Jesse James by the Coward Robert Ford,2007,R,160 minutes,Western,Andrew Dominik,"Brad Pitt,Casey Affleck","$15,313,631",0
1001469,167,3033,The Dark Knight,2008,PG-13,152 min,"Action, Crime, Thriller",Christopher Nolan,"Christian Bale,Heath Ledger,Aaron Eckhart,Michael Caine",$534.86M,The Dukes,2008,PG-13,-1,Comedy,-1,-1,-1,0
1010173,2446,3053,The Lincoln Lawyer,2011,R,118 min,"Crime, Drama, Thriller",Brad Furman,"Matthew McConaughey,Marisa Tomei,Ryan Phillippe,William H. Macy",$58.01M,Bloodrayne: The Third Reich,2011,R,-1,-1,-1,-1,-1,0
1012058,793,3065,Up in the Air,2009,R,109 min,"Drama, Romance",Jason Reitman,"George Clooney,Vera Farmiga,Anna Kendrick,Jason Bateman",$83.82M,Blood: The Last Vampire,2009,R,-1,Action,Chris Nahon,Gianna,"$5,683,954",0
1019613,3072,3080,Kiss the Girls,1997,R,115 min,"Crime, Drama, Mystery",Gary Fleder,"Morgan Freeman,Ashley Judd,Cary Elwes,Alex McArthur",$60.53M,Prisoner of the Mountains,1997,R,-1,Drama,-1,-1,-1,0
1034468,2779,3105,Curse of the Golden Flower,2006,R,114 min,"Action, Drama, Romance",Yimou Zhang,"Yun-Fat Chow,Li Gong,Jay Chou,Ye Liu",$6.57M,Ask the Dust,2006,R,-1,Drama,Robert Towne,-1,-1,0
1102957,895,3279,Harry Potter and the Goblet of Fire,2005,PG-13,157 min,"Adventure, Family, Fantasy",Mike Newell,"Daniel Radcliffe,Emma Watson,Rupert Grint,Eric Sykes",$290.01M,The Aryan Couple,2005,PG-13,-1,Drama,-1,-1,"$316,527",0
1110758,715,3303,Captain America: The First Avenger,2011,PG-13,124 min,"Action, Adventure, Sci-Fi",Joe Johnston,"Chris Evans,Hugo Weaving,Samuel L. Jackson,Hayley Atwell",$176.65M,The Conspirator,2011,PG-13,122 minutes,Drama,Robert Redford,"James McAvoy,Robin Wright","$15,907,411",0
1161165,1639,3446,Love Actually,2003,R,135 min,"Comedy, Drama, Romance",Richard Curtis,"Hugh Grant,Martine McCutcheon,Liam Neeson,Laura Linney",$59.70M,Love the Hard Way,2003,R,-1,-1,-1,"Adrien Brody,Charlotte Ayanna",-1,0
1161584,2942,3446,Touching the Void,2003,R,106 min,"Documentary, Adventure, Drama",Kevin Macdonald,"Simon Yates,Joe Simpson,Brendan Mackey,Nicholas Aaron",$4.58M,Love the Hard Way,2003,R,-1,-1,-1,"Adrien Brody,Charlotte Ayanna",-1,0
1161681,3219,3446,The Blind Swordsman: Zatoichi,2003,R,116 min,"Action, Comedy, Crime",Takeshi Kitano,"Takeshi Kitano,Tadanobu Asano,Yui Natsukawa,Michiyo Ohkusu",$0.85M,Love the Hard Way,2003,R,-1,-1,-1,"Adrien Brody,Charlotte Ayanna",-1,0
1161904,3930,3446,The Saddest Music in the World,2003,R,100 min,"Comedy, Musical",Guy Maddin,"Isabella Rossellini,Mark McKinney,Maria de Medeiros,David Fox",$0.67M,Love the Hard Way,2003,R,-1,-1,-1,"Adrien Brody,Charlotte Ayanna",-1,0
1163213,3702,3447,The Crazies,2010,R,101 min,"Horror, Thriller",Breck Eisner,"Radha Mitchell,Timothy Olyphant,Danielle Panabaker,Joe Anderson",$39.12M,Love the Beast,2010,R,-1,Documentary,-1,-1,-1,0
1174593,2703,3463,The Drop,2014,R,106 min,"Crime, Drama",Michaël R. Roskam,"Tom Hardy,Noomi Rapace,James Gandolfini,Matthias Schoenaerts",$10.72M,The Art of the Steal,2014,R,90 minutes,Comedy,Jonathan Sobol,"Kurt Russell,Jay Baruchel,Katheryn Winnick,Chris Diamantopoulos,Kenneth Welsh,Jason Jones,Terence Stamp,Matt Dillon",-1,0
1194684,1017,3507,The Hunger Games,2012,PG-13,142 min,"Adventure, Sci-Fi, Thriller",Gary Ross,"Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth,Stanley Tucci",$408.01M,The Mine,2012,PG-13,-1,-1,-1,-1,-1,0
1226775,1033,3585,City of God,2002,R,130 min,"Crime, Drama",Fernando Meirelles,"Kátia Lund,Alexandre Rodrigues,Leandro Firmino,Matheus Nachtergaele,Phellipe Haagensen",$7.56M,Confessions of a Dangerous Mind,2002,R,113 minutes,Drama,George Clooney,Sam Rockwell,"$33,013,805",0
1265368,1609,3703,Shadow of the Vampire,2000,R,92 min,"Drama, Horror",E. Elias Merhige,"John Malkovich,Willem Dafoe,Udo Kier,Cary Elwes",$8.29M,Bless the Child,2000,R,107 minutes,Thriller/Suspense,Chuck Russell,-1,"$40,435,694",0
1269650,634,3718,"Duck, You Sucker",1971,PG,138 min,"War, Western",Sergio Leone,"Rod Steiger,James Coburn,Romolo Valli,Maria Monti",-1,The Million Dollar Duck,1971,PG,-1,-1,-1,-1,-1,0
1305276,4221,3829,The Seventh Sign,1988,R,97 min,"Drama, Fantasy, Horror",Carl Schultz,"Demi Moore,Michael Biehn,Jürgen Prochnow,Peter Friedman",$18.88M,The Presidio,1988,R,-1,Thriller/Suspense,Peter Hyams,-1,-1,0
1306784,2447,3830,Talladega Nights: The Ballad of Ricky Bobby,2006,PG-13,108 min,"Action, Comedy, Sport",Adam McKay,"Will Ferrell,John C. Reilly,Sacha Baron Cohen,Gary Cole",$148.21M,The Prestige,2006,PG-13,130 minutes,Thriller/Suspense,Christopher Nolan,"Hugh Jackman,Christian Bale,Scarlett Johansson","$104,407,366",0
1346845,167,3942,The Dark Knight,2008,PG-13,152 min,"Action, Crime, Thriller",Christopher Nolan,"Christian Bale,Heath Ledger,Aaron Eckhart,Michael Caine",$534.86M,The Love Guru,2008,PG-13,87 minutes,Comedy,Marco Schnabel,Mike Myers,"$40,159,017",0
1363387,1723,3973,Sweeney Todd: The Demon Barber of Fleet Street,2007,R,116 min,"Drama, Horror, Musical",Tim Burton,"Johnny Depp,Helena Bonham Carter,Alan Rickman,Timothy Spall",$52.90M,The Hunting Party,2007,R,-1,Adventure,-1,"Richard Gere,Terrence Howard","$7,729,552",0
1379261,3556,3998,Buffy the Vampire Slayer,1992,PG-13,86 min,"Action, Comedy, Fantasy",Fran Rubel Kuzui,"Kristy Swanson,Donald Sutherland,Paul Reubens,Rutger Hauer",$16.62M,Blame it on the Bellboy,1992,PG-13,-1,Comedy,-1,-1,-1,0
1381238,995,4001,The World's End,2013,R,109 min,"Action, Comedy, Sci-Fi",Edgar Wright,"Simon Pegg,Nick Frost,Martin Freeman,Rosamund Pike",$26.00M,The Company You Keep,2013,R,125 minutes,Thriller/Suspense,Robert Redford,"Robert Redford,Shia LaBeouf","$13,632,449",0
1403233,2372,4074,The Grey,2011,R,117 min,"Action, Adventure, Drama",Joe Carnahan,"Liam Neeson,Dermot Mulroney,Frank Grillo,Dallas Roberts",$51.58M,The Hunters,2011,R,-1,-1,-1,-1,-1,0
1413840,2934,4088,The Jackal,1997,R,124 min,"Action, Crime, Drama",Michael Caton-Jones,"Bruce Willis,Richard Gere,Sidney Poitier,Diane Venora",$54.93M,Dream With The Fishes,1997,R,-1,Drama,-1,-1,-1,0
1439519,3140,4149,Precious,2009,R,110 min,Drama,Lee Daniels,"Gabourey Sidibe,Mo'Nique,Paula Patton,Mariah Carey",$47.40M,Precious (Based on the Novel Push by Sapphire),2009,R,119 minutes,Drama,Lee Daniels,Gabourey Sidibe,"$68,722,848",1
1457948,2818,4197,The Hunger Games: Mockingjay - Part 1,2014,PG-13,123 min,"Action, Adventure, Sci-Fi",Francis Lawrence,"Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth,Woody Harrelson",$337.14M,The Hunger Games: Mockingjay - Part 1,2014,PG-13,123 minutes,Thriller/Suspense,Francis Lawrence,Jennifer Lawrence,"$766,652,288",1
1527164,2790,4352,Of Mice and Men,1992,PG-13,115 min,Drama,Gary Sinise,"John Malkovich,Gary Sinise,Ray Walston,Casey Siemaszko",$5.10M,The Power of One,1992,PG-13,-1,Drama,John G. Avildsen,-1,-1,0
1615693,3102,4613,Meet Joe Black,1998,PG-13,178 min,"Drama, Fantasy, Romance",Martin Brest,"Brad Pitt,Anthony Hopkins,Claire Forlani,Jake Weber",$44.62M,Black Dog,1998,PG-13,89 minutes,Action,-1,Patrick Swayze,-1,0
1633315,3306,4654,The Girl Who Played with Fire,2009,R,129 min,"Crime, Drama, Mystery",Daniel Alfredson,"Noomi Rapace,Michael Nyqvist,Lena Endre,Peter Andersson",$9.08M,The Lost Tribe,2009,R,-1,Horror,-1,-1,-1,0
1644120,4125,4673,The Bourne Legacy,2012,PG-13,135 min,"Action, Adventure, Mystery",Tony Gilroy,"Jeremy Renner,Rachel Weisz,Edward Norton,Scott Glenn",$113.20M,The Apparition,2012,PG-13,82 minutes,Horror,Todd Lincoln,Ashley Greene,"$10,637,281",0
1644845,1070,4673,The Hobbit: An Unexpected Journey,2012,PG-13,169 min,"Adventure, Family, Fantasy",Peter Jackson,"Martin Freeman,Ian McKellen,Richard Armitage,Andy Serkis",$303.00M,The Apparition,2012,PG-13,82 minutes,Horror,Todd Lincoln,Ashley Greene,"$10,637,281",0
1676731,2907,4769,Once Upon a Time in Mexico,2003,R,102 min,"Action, Thriller",Robert Rodriguez,"Antonio Banderas,Salma Hayek,Johnny Depp,Willem Dafoe",$56.36M,Lost in Translation,2003,R,102 minutes,Drama,Sofia Coppola,"Bill Murray,Scarlett Johansson","$117,085,297",0
1676783,252,4769,Lost in Translation,2003,R,102 min,Drama,Sofia Coppola,"Bill Murray,Scarlett Johansson,Giovanni Ribisi,Anna Faris",$44.59M,Lost in Translation,2003,R,102 minutes,Drama,Sofia Coppola,"Bill Murray,Scarlett Johansson","$117,085,297",1
1677384,2907,4774,Once Upon a Time in Mexico,2003,R,102 min,"Action, Thriller",Robert Rodriguez,"Antonio Banderas,Salma Hayek,Johnny Depp,Willem Dafoe",$56.36M,Lost in La Mancha,2003,R,-1,Documentary,Keith Fulton,Jean Rochefort,"$2,440,345",0
